artist,song,lyrics,flg
I Don't Like Monday,重ね色,通り過ぎてゆく季節の背中を　追いかけてたって追いつけなどしなくて　息を切らしては燻んだ色した　明日の空にただ手を伸ばした　　悲しみを溶かすような　優しさで満たすような　想いを注ぎ足して　　同じ色を重ねたり　違う色を重ねたり　独りだけじゃ描けない小さな奇跡が　モノクロの景色を彩るから　　思いがけないような色となって濁ったり　素直になれなくて不器用な自分　腹が立ったり　もうダメかもって落ち込んだ日々も　今となれば全ては色彩　　いつかは色褪せたって　それもそれで味だねって　笑って君といたい　　「おはよう」とか「ごめんね」を　重ねてゆく日常に　独りだけじゃ描けない物語が　私の命に色を与えてくれる　　君の色と私の色とで　どんな色が顔を出すんだろう？　二人で一つの未来の画用紙に　何度でも描き足していくんだよ　　同じ色を重ねたり　違う色を重ねたり　独りだけじゃ描けない小さな奇跡を　どんな時も二人で描けたらいい,1
I Don't Like Monday,Girlfriend,"I wanna love I wanna touch　Can you feel me through the night？ I make you mine　かじかむその手を離さぬように握るよ　　去年よりも寒い冬になると　朝のニュースでは言っていたけど　凍える夜でも二人なら I will make you alright　寒くはない　　So be my girlfriend It's gonna be so fun　今宵　雨が雪に変わるから　転ばぬように二人で歩こう　Cause you are you are the only one for me baby　　Every night I'll get you love　冷めない愛で誰よりも温めてあげる　Every morning I'll give a kiss　目覚めた時から誰よりも笑わせてあげる　　I wanna see your everything　I will never let you down Let's start it now　このまま二人で遠くの街で暮らそう　　今も忘れられない恋の痛みも　癒えることのない心の傷も　これからは僕にあずけてよ I can take it away　もう独りじゃない　　So be my girlfriend It's gonna be so fun　今宵　雨が雪に変わるから　転ばぬように二人で歩こう　Cause you are you are the only one for me baby　　Every night I'll get you love　冷めない愛で誰よりも温めてあげる　Every morning I'll give a kiss　目覚めた時から誰よりも笑わせてあげる　　SNOW IS FALLING, LET ME LOVE YOU　I WILL MAKE YOU MAKE YOU SO HAPPY　I WILL STAND BY YOU FOREVER　I WILL MAKE YOU MAKE YOU SO HAPPY　　So be my girlfriend It's gonna be so fun　今宵　雨が雪に変わるから　転ばぬように二人で歩こう　Cause you are you are the only one for me baby　　Every night I'll get you love　冷めない愛で誰よりも温めてあげる　Every morning I'll give a kiss　目覚めた時から誰よりも笑わせてあげる　　SNOW IS FALLING, LET ME LOVE YOU　I WILL MAKE YOU MAKE YOU SO HAPPY　I WILL STAND BY YOU FOREVER　I WILL MAKE YOU MAKE YOU SO HAPPY",1
I Don't Like Monday,gift,外を出たら突然に　今年初めてみる雪　懐かしくて切ないような匂い　　恥ずかしいから街中で　子供みたいにハシャグなよ　独りの時が寂しくなるだろ　　君を見送る　道の途中が　悲しい思い出にならないように　　いつか　共に暮らせたら　共にいられたら　そんな日々のこと　歩きながら話すのさ　　胸に隠してる　君へのギフトを　ふいに渡したら　どんな顔をするのかな　　君が想像してるより　綺麗なもんではないかもな　それは歪で汚れたようなモノ　　だけど貴方がいつの日か　独り泣きたい夜には　僕に代わって寄り添うように照らす　　寒い夜には離れていても　僕ら2人を温める　　いつか　共に暮らせたら　共にいられたら　どんな部屋に住もう　どんな家具を置こうかな　　犬か猫でも飼おう　君が迷うなら　両方でもいいかもな　賑やかで良さそうだな　　And I give you now　And I show you now　And I give a small gift to you　　いつか　共に暮らせたら　共にいられたら　そんなイメージの　おかげで寒くないのさ　　胸に隠してる　君へのこのギフトを　サヨナラの前にね　渡しておきたいのさ　　君の隣でそんなこと　考えているんだよ,0
I Don't Like Monday,Crazy,"Honey I go crazy I wanna touch your body　頭の中は君しかいない　　Am I crazy？　I think about your face every night I don't know why　I want you baby　夢の中では簡単に言えるのに　　I wanna try try something something tonight　Just Tell me tell me what you're feeling feeling about me　I wanna try try something something tonight　I losing mind, you make me so high　　Honey I go crazy I wanna touch your body　頭の中は君しかいない　Baby I go crazy I wanna kiss your body　ふたりでひとつになれるほど愛し合いたい　Baby I go crazy　　Just help me now　I think I need a doctor give me a medicine before I die　I love baby これ以上抑えきれないよ cause I'm crazy　　I wanna try try something something tonight　Just Tell me tell me what you're feeling feeling about me　I wanna try try something something tonight　I losing mind, you make me so high　　Honey I go crazy I wanna touch your body　頭の中は君しかいない　Baby I go crazy I wanna kiss your body　ふたりでひとつになれるほど愛し合いたい　Baby I go crazy　　この気持ちにアナタは気付いてるのに　(Cause you know about me baby)　気付かないふりするの　おかしくなるよ love me oh baby　　You know I go crazy I wanna touch your body　頭の中は君しかいない　Baby I go crazy I wanna kiss your body　こんな気持ちは初めてだよ　Honey I go crazy I wanna touch your body　夢の中さえ君に逢いたい　Baby I go crazy I wanna kiss your body　ふたりでひとつになれるほど愛し合いたい　Baby I go crazy　愛し合いたい　Baby I go crazy",0
I Don't Like Monday,Game over,"Can't read your poker face I don't wanna be a looser　あの日のキスがまだ頭から離れない Year　I just need some alcohol I think I'm addicted　君の気持ちがわからないから眠れない　　When I'm close to you　I feel you are away from me Trust me,　I'll love you baby　How you want me to love　　Just let me know what you feel　I wanna make this game over　You don't know how I deal with it　Cause you always make me wonder　　Everybody said “She's such a bitch”　I wanna make this game over　駆け引きは終わらせて　Let's fall in love　I never give it up on you　　I was looking for a masterpiece　Just let me be your lover　　あいまいな関係じゃいてもたってもいられない　Baby you are my Juliette　But I can be your hero　どんなモデルも女優も君にはかなわない　　When I'm close to you　I feel you are away from me　Trust me, I'll love you baby　How you want me to love　　Just let me know what you feel　I wanna make this game over　You don't know how I deal with it　Cause you always make me wonder　　Everybody said “She's such a bitch”　I wanna make this game over　駆け引きは終わらせて　Let's fall in love　I never give it up on you　　Can't read your poker face I don't wanna be a looser　あの日のキスがまだ頭から離れない　　Just let me know what you feel　I wanna make this game over　You don't know how I deal with it　Cause you always make me wonder　　Everybody said “She's such a bitch”　I wanna make this game over　駆け引きは終わらせて　Let's fall in love　I never give it up on you",0
I Don't Like Monday,CALL ME,心配なんかはしないでくれ　毎日ちゃんと笑えているし　ベッドも独り占めできるし　夜もよく眠れるよ　　いちいち電話なんかしなくてもいいし　言い合いとかしなくてもいいし　あぁ　快適な日々だな　　でもそれだけじゃ　この世界はなんか　もの足りなくて　もの足りなくて　君が隣で　笑わない世界は　どんな景色も　色褪せるから　　朝まで語り明かすせいで　寝不足になることもないし　撮りすぎる写真もないから　メモリーは減らないのさ　　逢いたいのに会えずに辛くなることも　抱きあうと切なくなるような　こともない平和な日々さ　　でもそれだけじゃ　この世界はなんか　もの足りなくて　もの足りなくて　君が隣で　笑わない世界は　どんな映画も　退屈なんだよ　　I know　I was know I was so stupid　I know　I was know I was so stupid shit　This love song is so stupid　This love song is so stupid shit　Everynight I'm dreaming of you　　君がこの先　誰かを愛そうと　構わないから　構わないから　Baby I'm waiting for you　僕はここで待つよ　君がいないなら　つまらないから　　でもそれだけじゃ　この世界はなんか　もの足りなくて　もの足りなくて　君が隣で　笑わない世界は　どんな景色も　色褪るから　　心配なんかはしていないよ　毎日笑えているだろうし　君の気が向いた時にでも　電話して欲しいのさ,0
I Don't Like Monday,Golden Life,"何年先も変わらずに　君と寄り添い肩を並べて　同じ空をみていたいから　　「めずらしく星がみえる」と笑う君が隣にいるなら　暗い夜も超えていけるだろう　　We got the golden star, we got the golden night　君といられる今はGOLDEN LIFE　I love you so because I love you so　ふたりで歩いていこう　We got the golden sky, we got the golden love　輝く未来を愛していたい　I love you so because I love you so　手を繋いで夢の中へ　　毎晩　僕の隣で眠る君の顔を見るたびに　嘘みたいに優しくなれる　　幸せは何故だか時に残酷に切なく輝いて　この世界を変えてしまうけど　　We got the golden star, we got the golden night　君といられる今はGOLDEN LIFE　I love you so because I love you so　ふたりで歩いていこう　We got the golden sky, we got the golden love　輝く未来を愛していたい　I love you so because I love you so　手を繋いで夢の中へ　　We got the golden star, we got the golden night　君といられる今はGOLDEN LIFE　I love you so because I love you so　ふたりで歩いていこう　We got the golden sky, we got the golden love　輝く未来を愛していたい　I love you so because I love you so　手を繋いで夢の中へ",0
I Don't Like Monday,サボテン,あなたの声が好き　笑い方も好きだな　挙げていったら　キリがないから　ないから　　苦いようで甘い　単純で複雑で　優しくて切なくて　苦しくて　　あふれ出してくる　この想いを何と呼ぶのかい？　こぼれ落ちてしまいそう　やわらかくて謎めいてる想いを　　バルコニーのサボテン　小さな花を付けた　僕が知らない間に　気が付かない間に　育っていた　　苦いようで甘い　単純で複雑で　優しくて切なくて　愛しくて　　あふれ出してくる　この涙を何と呼ぶのかい？　こぼれ落ちてしまいそう　あたたかくて謎めいてる　　いつかこの記憶だって　なくなる日が来るけれど　これだけは消えない　消えやしない　　あふれ出してくる　この想いを「君」と呼ぶから　ふたりで描いた未来を　これからは「僕」と　この先は「愛」と　呼ぶんだよ,0
I Don't Like Monday,Sunflower,遠い空眺めながら　髪をなびかせる君の横顔をみたら　出会った日のこと思い出したよ　　ねえ後どれだけの時間を　こうしてふたりでいられるだろう？　わからないけど　今だけはまだ知りたくないな　　永遠なんてないこと　初めからわかってる　だからその日まで　その時まで貴方といたいのさ　　向日葵の花のように君が笑うから　気がつけば僕の方が笑っているんだよ　明日も明日もふたりで　手を繋なぎ歩いてこう　離れずに歩いてこう　　時には暗いニュースのせいで涙流したり　時にはクダラナイ小さなことで喧嘩になったり　明日も明日もふたりで　手を繋なぎ歩いてこう　この夏はいつまでも　終わらない　　そうチグハグなふたりだけど　凸凹なふたりだけどほら　それぐらいの方がさ　お互いに飽きたりしないで済むだろう？　　永遠なんてないこと　初めからわかってる　だからその日までその時まで　抱きしめていたのさ　　向日葵の花のように君が笑うから　気がつけば僕の方も笑っているんだよ　明日も明日もふたりで　手を繋なぎ歩いてこう　この夏はいつまでも終わらない　　いつの間にか　空に星が輝くよ　貴方がいるなら　泣かずにいられる　　向日葵の花のように君が笑うから　それだけで生きていけるような　気がしているんだよ　　明日も明日もふたりで　手を繋なぎ歩いてこう　離れずに歩いて行こう　　時には暗いニュースのせいで涙流したり　時にはクダラナイ小さなことで喧嘩になったり　明日も明日もふたりで　手を繋なぎ歩いてこう　　この夏はいつまでも　終わらない,0
I Don't Like Monday,Shape of love,You know I Love you darling it would be forever　Oh BE MY BABY BABY　We Don't need to Talk too much　　Your body always makes me feel so good together　OH BE MY BABY BABY　I wanna see your shape of love　　So many many pretty girls are around me　And everybody wants me every night　But I don't mean to be a nasty play boy　Cause I'm such a classy boy　Such a classy boy　　Play hot 90s hip hop　that Would never be stop　Baby You are the one for me　So Tonight please Forget your instagram　I just want to Get into Your Magic　　Your smile is Gucci and Style is like saintlaurent　Everybody's jealous everytime　Let's go to many parties with my copper　Maybe We are prefect two　UH Everything for You,0
I Don't Like Monday,SING,ヒトは誰もが愛を求めて　この世界に生を受けるなら　おそらく僕はアナタのために　アナタのためにそう生まれたんだ　LIFE IS SO BEAUTIFUL　隣にいるとつられて笑えるから　　YOU ARE MY EVERYTHING MY EVERYTHING　I SING FOR YOU　星空の下愛を唄おう　EVERYDAY OH EVERYNIGHT　I SING FOR YOU　2人で共に歩いていくのさ　　アナタが僕を必要ならば　例え地球の果てまでゆくよ　もしもアナタが泣きたい時は　そっとその肩を抱き寄せるよ　LIFE IS SO BEAUTIFUL　眠りについても　その手は離さないから　　YOU ARE MY EVERYTHING MY EVERYTHING　I SING FOR YOU　ふたりのために愛を唄おう　EVERYDAY OH EVERYNIGHT　I SING FOR YOU　死ぬまで共に歩いていくのさ　　いつの日か2人が年をとっても　変わらずにこの腕でだきしめよう　やがてこの瞳が見えなくなっても　アナタだけはみえるから　そしてこのカラダが生まれ変わっても　またアナタを愛してしまうだろう　何億とあるこの細胞すべてが　アナタを愛してしまうから　　'CAUSE YOU ARE MY EVERYTHING MY EVERYTHING　I SING FOR YOU　星空の下愛を唄おう　EVERYDAY EVERYNIGHT　I SING FOR YOU　誰かのために声をあげて　　EVERYTHING MY EVERYTHING　I SING FOR YOU　ふたりのために愛を唄おう　EVERYDAY OH EVERYNIGHT　I SING FOR YOU　死ぬまで夢を探しにいこう　　EVERYTHING MY EVERYTHING　I SING FOR YOU　星空の下愛を唄おう　EVERYDAY OH EVERYNIGHT　I SING FOR YOU　あなたの為に　I JUST WANA SING THIS SONG FOR YOU,0
I Don't Like Monday,SING (electric version),ヒトは誰もが愛を求めて　この世界に生を受けるなら　おそらく僕はアナタのために　アナタのためにそう生まれたんだ　LIFE IS SO BEAUTIFUL　隣にいるとつられて笑えるから　　YOU ARE MY EVERYTHING MY EVERYTHING　I SING FOR YOU　星空の下　愛を唄おう　EVERYDAY OH EVERYNIGHT　I SING FOR YOU　2人で共に歩いていくのさ　　アナタが僕を必要ならば　例え地球の果てまでゆくよ　もしもアナタが泣きたい時は　そっとその肩を抱き寄せるよ　LIFE IS SO BEAUTIFUL　眠りについても　その手は離さないから　　YOU ARE MY EVERYTHING MY EVERYTHING　I SING FOR YOU　ふたりのために愛を唄おう　EVERYDAY OH EVERYNIGHT　I SING FOR YOU　死ぬまで共に歩いていくのさ　　いつの日か2人が年をとっても　変わらずにこの腕でだきしめよう　やがてこの瞳が見えなくなっても　アナタだけはみえるから　そしてこのカラダが生まれ変わっても　またアナタを愛してしまうだろう　何億とあるこの細胞すべてが　アナタを愛してしまうから　　'CAUSE YOU ARE MY EVERYTHING MY EVERYTHING　I SING FOR YOU　星空の下　愛を唄おう　EVERYDAY EVERYNIGHT　I SING FOR YOU　誰かのために声をあげて　　EVERYTHING MY EVERYTHING　I SING FOR YOU　ふたりのために愛を唄おう　EVERYDAY OH EVERYNIGHT　I SING FOR YOU　あなたの為に　I JUST WANA SING THIS SONG FOR YOU,0
I Don't Like Monday,スクロール。(Arranged by tofubeats),何もしないでグダグダしてる間に　夏が終わってしまったな　あぁ　今年こそ残すよ　爪痕をって　あれだけ宣言したくせに笑えるな　　ウンザリするよなニュース　誹謗中傷炎上の　火の粉が降り注いでる世界　　僕らは日々をスクロールして　たまに自己嫌悪になるけど　クヨクヨしても意味ないから　あるだけの力振り絞って　ギリギリ明日へとヘッドスライディング　　君が横にいるからって　カッコつけて背伸びしたって　どうせ全てお見通しなんだろうな　化けの皮剥がれるぐらいなら　捨て身で飛び込め　ってさぁ　簡単じゃないよ　　ありきたりなラブソング　なぜか胸に染みちゃって　独り黄昏れるよ　帰り道　　僕らは日々をスクロールして　たまに自己嫌悪になるけど　その中で君に出会えたり　恋に落ちたり愛し合ったり　幸せが何かわかってしまったり　　僕らは日々をスクロールして　たまに自己嫌悪になるけど　クヨクヨしても意味ないから　あるだけの力振り絞って　ギリギリ明日へとヘッドスライディング　　あるだけの力振り絞って　ギリギリ明日へとヘッドスライディング,0
